City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1125,Dingle,PH,76.08,Broken clouds,10.9995,122.6711,SEGAYA PROPERTY
1132,Sal Rei,CV,79.39,Scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
1134,Celestun,MX,87.96,Few clouds,20.8667,-90.4,Posada Lilia
1141,Nouadhibou,MR,76.98,Few clouds,20.931,-17.0347,El Medina
1143,Vanimo,PG,77.47,Broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
1144,Sheridan,US,87.31,Clear sky,44.8333,-106.9173,Comfort Inn & Suites
1152,Port-Gentil,GA,77.81,Overcast clouds,-0.7193,8.7815,Fengshui Residence
1153,San Pedro,PH,82.35,Heavy intensity rain,14.35,121.0167,Villa Veronica Resort Private Pool
1158,Natal,BR,83.52,Few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
1160,Port Keats,AU,76.03,Scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
1161,Hobyo,SO,78.46,Broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
1170,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1172,Acapulco,MX,85.53,Overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
1174,Diego De Almagro,CL,86.74,Clear sky,-26.3667,-70.05,hotel luna del desierto
1181,Victoria,HK,85.32,Light rain,22.2855,114.1577,Mini Hotel Central
1183,Port-Gentil,GA,77.81,Overcast clouds,-0.7193,8.7815,Fengshui Residence
1186,Lujiang,CN,75.0,Light rain,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
1195,Kavieng,PG,81.0,Moderate rain,-2.5744,150.7967,Nusa Island Retreat
1197,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1203,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1204,Las Vegas,US,88.54,Clear sky,36.175,-115.1372,Plaza Hotel & Casino
1208,Kuah,MY,81.36,Moderate rain,6.3265,99.8432,Azio Hotel
1220,Chokwe,MZ,75.52,Clear sky,-24.5333,32.9833,Complexo Sonho Real
1223,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1226,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1227,Bonthe,SL,78.26,Light rain,7.5264,-12.505,Bonthe Holiday Village
1231,Shenjiamen,CN,76.62,Scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
1233,Nantucket,US,75.25,Scattered clouds,41.2835,-70.0995,Jared Coffin House
1235,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1237,Mporokoso,ZM,75.88,Overcast clouds,-9.3727,30.125,Government Guest House
1239,Tura,IN,75.88,Overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
1242,Bengkulu,ID,75.25,Overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1243,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1254,Puerto Guzman,CO,88.99,Overcast clouds,0.9703,-76.5858,Hotel Campo Verde
1256,Luwuk,ID,76.48,Overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
1257,Qandala,SO,89.56,Clear sky,11.472,49.8728,
1259,Arraial Do Cabo,BR,84.16,Clear sky,-22.9661,-42.0278,Pousada Porto Praia
1263,Sao Joao Da Barra,BR,82.49,Scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
1264,Jishou,CN,77.22,Light rain,28.3167,109.7167,7 Days Inn
1266,Hobyo,SO,78.46,Broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
1268,Ponta Do Sol,PT,76.01,Overcast clouds,32.6667,-17.1,Hotel do Campo
1280,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1287,Kapoeta,SS,79.29,Broken clouds,4.7717,33.5903,Eastgate Hotel
1301,Nkhotakota,MW,76.75,Broken clouds,-12.9274,34.2961,Sitima Inn
1315,Onalaska,US,80.42,Overcast clouds,43.8844,-91.2351,Stoney Creek Hotel La Crosse - Onalaska
1317,Puerto Escondido,MX,87.04,Broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
1320,Castro,BR,76.39,Scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
1321,Georgetown,MY,76.95,Scattered clouds,5.4112,100.3354,Cititel Penang
1324,Hays,US,86.92,Broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
1331,Tura,IN,75.88,Overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
1332,Georgetown,MY,76.95,Scattered clouds,5.4112,100.3354,Cititel Penang
1333,Salalah,OM,82.2,Overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
1337,Faanui,PF,79.3,Light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
1338,Georgetown,MY,76.95,Scattered clouds,5.4112,100.3354,Cititel Penang
1355,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1356,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1361,Quezaltepeque,SV,86.68,Broken clouds,13.835,-89.2744,Residencial Mercher
1362,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
1364,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1367,Basco,PH,84.16,Few clouds,20.4487,121.9702,Nathaniel's Lodge
1385,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1392,Alcantara,BR,85.93,Broken clouds,-2.4089,-44.4147,Pousada da Josefa
1396,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1399,Itoman,JP,80.62,Few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
1403,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1406,Bubaque,GW,83.59,Overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
1413,Ponta Do Sol,PT,76.01,Overcast clouds,32.6667,-17.1,Hotel do Campo
1425,Cockburn Town,TC,82.89,Clear sky,21.4612,-71.1419,Osprey Beach Hotel
1426,Georgetown,MY,76.95,Scattered clouds,5.4112,100.3354,Cititel Penang
1428,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1434,San Patricio,US,87.89,Clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
1436,Bathsheba,BB,84.63,Broken clouds,13.2167,-59.5167,Atlantis Hotel
1443,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1447,Columbia,US,82.22,Clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
1449,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1450,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1463,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1466,Acapulco,MX,85.53,Overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
1472,Faanui,PF,79.3,Light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
1477,Kavaratti,IN,81.55,Broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
1484,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1493,Georgetown,MY,76.95,Light rain,5.4112,100.3354,Cititel Penang
1500,Kibala,TD,76.35,Light rain,9.1104,18.3463,hotel safari
1503,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
1512,Castro,BR,76.39,Scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
1515,Wanning,CN,78.85,Scattered clouds,18.8003,110.3967,Paradise Hotel
1516,Malanje,AO,76.23,Broken clouds,-9.5402,16.341,Malanje Hotel
1522,Padang,ID,76.12,Overcast clouds,-0.9492,100.3543,Mercure Padang
1523,Gerash,IR,82.04,Clear sky,27.6652,54.1371,Sa'adat House
1527,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1529,San Vicente,AR,89.42,Clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
1533,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1534,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1537,Salalah,OM,82.2,Overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
1541,Manglaur,IN,77.85,Scattered clouds,29.8,77.8667,Hotel Godawari
1547,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1554,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1559,Bathsheba,BB,84.63,Broken clouds,13.2167,-59.5167,Atlantis Hotel
1563,Banda Aceh,ID,78.82,Overcast clouds,5.5577,95.3222,Sulthan Hotel International
1564,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1569,Winnemucca,US,78.85,Clear sky,40.973,-117.7357,Winners Inn Casino
1570,Touros,BR,85.1,Clear sky,-5.1989,-35.4608,INN NEW HORIZON
1575,Lorengau,PG,80.28,Broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1585,Fare,PF,78.89,Clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
1587,Conway,US,89.02,Clear sky,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
1589,Palembang,ID,75.72,Overcast clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
1595,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
1601,Kavieng,PG,81.0,Moderate rain,-2.5744,150.7967,Nusa Island Retreat
1603,Maracas,BR,76.96,Broken clouds,-13.4411,-40.4308,Pousada Vale Aprazível
1606,Qui Nhon,VN,77.86,Clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
1626,Dingle,PH,76.08,Broken clouds,10.9995,122.6711,SEGAYA PROPERTY
1627,Nabire,ID,76.28,Broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
